PLAYER,TEAM,GP,W,L,MIN,"PASSES
MADE","PASSES
RECEIVED",AST,"SECONDARY
AST","POTENTIAL
AST","AST
ADJ","AST TO
PASS%","AST TO
PASS% ADJ",Good Passes
Luke Kennard,DET,73,34,39,1463,1058,1296,124,15,230,146,11.7,13.8,369
Luke Kornet,NYK,20,6,14,326,507,390,26,1,46,27,5.1,5.3,73
Luol Deng,LAL,1,0,1,13,9,7,1,0,2,1,11.1,11.1,3
Malachi Richardson,TOR,26,8,18,323,267,288,13,2,29,15,4.9,5.6,44
Malcolm Brogdon,MIL,47,25,22,1400,1963,2057,147,18,290,178,7.5,9.1,455
Malcolm Delaney,ATL,53,16,37,989,1677,1841,162,18,321,187,9.7,11.2,501
Malcolm Miller,TOR,15,15,0,126,107,100,3,1,7,4,2.8,3.7,11
Malik Beasley,DEN,62,34,28,583,344,422,31,2,50,34,9,9.9,83
Malik Monk,CHA,63,26,37,854,922,1324,91,10,172,110,9.9,11.9,273
Mangok Mathiang,CHA,4,3,1,20,19,10,0,0,0,0,0,0,0
Manu Ginobili,SAS,65,39,26,1299,1469,1817,163,21,320,199,11.1,13.5,504
MarShon Brooks,MEM,7,2,5,193,225,272,25,2,58,29,11.1,12.9,85
Marc Gasol,MEM,73,21,52,2408,4588,4409,305,30,565,338,6.6,7.4,900
Marcin Gortat,WAS,82,43,39,2074,2688,1712,151,12,261,159,5.6,5.9,424
Marco Belinelli,PHI,79,39,40,1921,2004,2345,147,29,316,183,7.3,9.1,492
Marcus Georges-Hunt,MIN,42,24,18,224,104,133,7,0,16,7,6.7,6.7,23
Marcus Morris,BOS,52,32,20,1394,1605,1513,68,11,129,80,4.2,5,208
Marcus Paige,CHA,5,4,1,28,44,56,3,1,7,4,6.8,9.1,11
Marcus Smart,BOS,51,35,16,1537,2203,2431,251,27,447,289,11.4,13.1,725
Mario Chalmers,MEM,66,21,45,1421,2650,2800,197,29,378,242,7.4,9.1,604
Mario Hezonja,ORL,75,21,54,1657,1846,1568,106,11,199,122,5.7,6.6,316
Markel Brown,HOU,4,4,0,31,33,32,2,0,3,2,6.1,6.1,5
Markelle Fultz,PHI,14,11,3,253,453,524,53,3,104,59,11.7,13,160
