,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS,PID
4,Shot Area,Right Corner 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,1,1,1,4,1,4,3,1,1,4,3,49,Right Corner 3,203920
5,Shot Area,Above the Break 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,1,1,1,4,1,4,3,1,1,4,3,49,Above the Break 3,203920
6,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,1,1,1,4,1,4,3,1,1,4,3,49,Backcourt,203920
0,Shot Area,Restricted Area,12,16,0.75,0,0,0.0,0.75,2,0.75,0.25,0.0,0.0,0.75,0.25,1,1,2,3,3,3,2,7,1,1,3,1,3,1,49,Restricted Area,1628444
1,Shot Area,In The Paint (Non-RA),0,1,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,4,3,3,3,4,1,2,2,3,1,4,2,49,In The Paint (Non-RA),1628444
2,Shot Area,Mid-Range,0,2,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,4,3,3,3,4,1,2,2,3,1,4,2,49,Mid-Range,1628444
3,Shot Area,Left Corner 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,4,3,3,3,4,1,2,2,3,1,4,2,49,Left Corner 3,1628444
4,Shot Area,Right Corner 3,2,2,1.0,2,2,1.0,1.5,0,0.0,0.0,1.0,0.0,1.0,0.0,2,3,1,1,2,1,1,1,2,2,1,1,1,2,49,Right Corner 3,1628444
5,Shot Area,Above the Break 3,1,5,0.2,1,5,0.2,0.3,0,0.0,0.0,1.0,0.0,1.0,0.0,3,2,3,2,1,2,3,1,2,2,1,1,1,2,49,Above the Break 3,1628444
6,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,4,3,3,3,4,1,2,2,3,1,4,2,49,Backcourt,1628444
0,Shot Area,Restricted Area,139,211,0.659,0,0,0.0,0.659,25,0.77,0.23,0.0,0.0,0.77,0.23,1,1,1,1,2,1,1,7,3,1,1,1,3,1,49,Restricted Area,202687
1,Shot Area,In The Paint (Non-RA),31,100,0.31,0,0,0.0,0.31,14,0.871,0.129,0.0,0.0,0.871,0.129,2,2,3,1,2,1,3,6,2,2,1,1,2,2,49,In The Paint (Non-RA),202687
2,Shot Area,Mid-Range,13,40,0.325,0,0,0.0,0.325,0,1.0,0.0,0.0,0.0,1.0,0.0,3,3,2,1,2,1,2,1,1,3,1,1,1,3,49,Mid-Range,202687
3,Shot Area,Left Corner 3,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,4,1,2,1,4,1,4,3,1,1,4,3,49,Left Corner 3,202687
