,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,CFID,CFPARAMS,PID
229,Overall,2017-18,69,43,26,0.623,14.2,109.2,102.6,6.5,0.027,0.77,8.4,0.048,0.135,0.092,11.0,0.42,0.417,0.098,97.1,0.032,60,182,0.9,2.6,0.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,203962
230,Overall,2017-18,5,3,2,0.6,9.0,98.7,95.0,3.8,0.111,1.5,11.6,0.0,0.104,0.053,7.7,0.425,0.455,0.231,97.35,0.052,7,20,1.4,4.0,0.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1626154
231,Overall,2017-18,4,0,4,0.0,1.9,98.3,93.2,5.1,0.0,0.0,0.0,0.25,0.2,0.231,16.7,0.6,0.6,0.269,101.1,0.25,3,5,0.8,1.3,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1626205
232,Overall,2017-18,76,53,23,0.697,27.5,111.8,104.7,7.2,0.044,0.69,6.3,0.043,0.203,0.126,9.1,0.552,0.574,0.192,100.81,0.098,379,784,5.0,10.3,0.483,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,201586
233,Overall,2017-18,64,46,18,0.719,25.4,110.4,100.5,9.9,0.169,3.13,33.1,0.036,0.126,0.084,10.5,0.514,0.536,0.116,100.97,0.081,148,320,2.3,5.0,0.463,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,2738
234,Overall,2017-18,69,36,33,0.522,25.1,106.6,105.1,1.5,0.078,1.25,10.8,0.076,0.182,0.129,8.6,0.526,0.558,0.187,100.88,0.099,277,613,4.0,8.9,0.452,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,101141
235,Overall,2017-18,82,48,34,0.585,31.4,106.8,102.3,4.5,0.222,2.47,30.0,0.011,0.14,0.076,12.2,0.609,0.623,0.159,97.98,0.107,335,718,4.1,8.8,0.467,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,204060
236,Overall,2017-18,2,1,1,0.5,32.1,109.2,93.8,15.3,0.149,2.33,24.7,0.018,0.081,0.051,10.6,0.618,0.655,0.141,106.98,0.099,8,17,4.0,8.5,0.471,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,201281
237,Overall,2017-18,59,27,32,0.458,33.5,103.0,106.0,-2.9,0.177,1.54,18.2,0.03,0.137,0.084,11.8,0.497,0.536,0.22,103.01,0.096,358,761,6.1,12.9,0.47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1627742
238,Overall,2017-18,60,41,19,0.683,32.2,108.7,103.5,5.2,0.282,2.2,18.6,0.019,0.107,0.065,8.4,0.568,0.61,0.307,99.23,0.165,534,1087,8.9,18.1,0.491,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,202681
