,GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
390,0021800105,579,2,1,4,10:21 PM,3:30,,,MISS Bogdanovic 26' 3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
419,0021800105,619,2,1,4,10:32 PM,0:25,,,MISS Bogdanovic 25' 3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
16,0021800120,31,2,1,1,8:15 PM,9:30,,,MISS Bogdanovic 17' Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
203,0021800120,294,1,1,2,9:00 PM,1:25,,,Bogdanovic 25' 3PT Jump Shot (3 PTS) (Oladipo 1 AST),53 - 53,TIE,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,203506,Victor Oladipo,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
205,0021800120,298,1,79,2,9:00 PM,0:54,,,Bogdanovic 13' Pullup Jump Shot (5 PTS) (Collison 3 AST),55 - 55,TIE,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,201954,Darren Collison,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
241,0021800120,357,1,80,3,9:22 PM,8:39,,,Bogdanovic 25' 3PT Step Back Jump Shot (8 PTS) (Turner 2 AST),67 - 66,-1,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,5,1626167,Myles Turner,1610612754.0,Indiana,Pacers,IND,0,0,,,,,
247,0021800120,370,2,1,3,9:24 PM,7:50,,,MISS Bogdanovic 26' 3PT Jump Shot,,,5.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
23,0021800127,34,2,79,1,7:15 PM,9:19,MISS Bogdanovic 13' Pullup Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
54,0021800127,71,2,1,1,7:18 PM,6:44,MISS Bogdanovic  3PT Jump Shot,,,,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,0,0,,,,,
212,0021800127,298,2,1,2,7:57 PM,3:15,MISS Bogdanovic 24' 3PT Jump Shot,,Horford BLOCK (1 BLK),,,4.0,202711,Bojan Bogdanovic,1610612754.0,Indiana,Pacers,IND,0,0,,,,,,5,201143,Al Horford,1610612738.0,Boston,Celtics,BOS
